DATE,CYC
1/1/1949,-0.5883859
4/1/1949,0.605151049
7/1/1949,1.431987
10/1/1949,1.692102667
1/1/1950,1.118818
4/1/1950,0.278800667
7/1/1950,-0.661270667
10/1/1950,-1.068033667
1/1/1951,-1.808113
4/1/1951,-2.214789
7/1/1951,-2.154666742
10/1/1951,-1.961015828
1/1/1952,-2.267107333
4/1/1952,-2.372888333
7/1/1952,-2.111652152
10/1/1952,-2.516707102
1/1/1953,-2.654713
4/1/1953,-2.792344983
7/1/1953,-2.629624667
10/1/1953,-1.666582394
1/1/1954,-0.103255333
4/1/1954,0.42698555
7/1/1954,0.590764667
10/1/1954,-0.045290667
1/1/1955,-0.647886667
4/1/1955,-0.983725
7/1/1955,-1.286171
10/1/1955,-1.155252667
1/1/1956,-1.357663123
4/1/1956,-1.19343
7/1/1956,-1.262583667
10/1/1956,-1.265159667
1/1/1957,-1.467865054
4/1/1957,-1.304080391
7/1/1957,-1.173851267
10/1/1957,-0.477224667
1/1/1958,0.88575964
4/1/1958,1.948400667
7/1/1958,1.91067489
10/1/1958,0.939237667
1/1/1959,0.400756677
4/1/1959,-0.338085556
7/1/1959,-0.177260333
10/1/1959,0.149936
1/1/1960,-0.323119036
4/1/1960,-0.229717667
7/1/1960,0.063503774
10/1/1960,0.789896667
1/1/1961,1.316125
4/1/1961,1.508835
7/1/1961,1.26799132
10/1/1961,0.693544579
1/1/1962,0.118774333
4/1/1962,0.010291333
7/1/1962,0.034716193
10/1/1962,-0.007990667
1/1/1963,0.215478667
4/1/1963,0.171781333
7/1/1963,-0.072411
10/1/1963,-0.01708072
1/1/1964,-0.128860982
4/1/1964,-0.407706
7/1/1964,-0.620222569
10/1/1964,-0.666340333
1/1/1965,-0.745977
4/1/1965,-0.992377333
7/1/1965,-1.305449333
10/1/1965,-1.585105
1/1/1966,-1.831263333
4/1/1966,-1.877195667
7/1/1966,-1.956194333
10/1/1966,-2.034915
1/1/1967,-1.913370667
4/1/1967,-1.924936667
7/1/1967,-1.969672
10/1/1967,-1.880984
1/1/1968,-2.058952667
4/1/1968,-2.236991819
7/1/1968,-2.2818422
10/1/1968,-2.426905
1/1/1969,-2.438901
4/1/1969,-2.417876307
7/1/1969,-2.297197333
10/1/1969,-2.310221333
1/1/1970,-1.7236317
4/1/1970,-1.137433333
7/1/1970,-0.751625333
10/1/1970,-0.099527667
1/1/1971,-0.014448667
4/1/1971,-0.063016
7/1/1971,0.054827722
10/1/1971,-0.060843667
1/1/1972,-0.243273333
4/1/1972,-0.325690556
7/1/1972,-0.474650333
10/1/1972,-0.690039333
1/1/1973,-1.138412062
4/1/1973,-1.153001667
7/1/1973,-1.30038662
10/1/1973,-1.3471639
1/1/1974,-0.993283145
4/1/1974,-0.938715
7/1/1974,-0.516781203
10/1/1974,0.43918047
1/1/1975,2.095822667
4/1/1975,2.686457667
7/1/1975,2.277732667
10/1/1975,2.102967548
1/1/1976,1.528824333
4/1/1976,1.355308667
7/1/1976,1.515770333
10/1/1976,1.543567667
1/1/1977,1.272069
4/1/1977,0.90131677
7/1/1977,0.664691
10/1/1977,0.428909667
1/1/1978,0.094022333
4/1/1978,-0.239927
7/1/1978,-0.206241099
10/1/1978,-0.33823452
1/1/1979,-0.369242795
4/1/1979,-0.532617
7/1/1979,-0.361726888
10/1/1979,-0.256623333
1/1/1980,0.08262949
4/1/1980,1.122624333
7/1/1980,1.463278667
10/1/1980,1.204504395
1/1/1981,1.246210333
4/1/1981,1.221638584
7/1/1981,1.230697536
10/1/1981,2.073302333
1/1/1982,2.682706333
4/1/1982,3.292173799
7/1/1982,3.768313
10/1/1982,4.544412667
1/1/1983,4.253777667
4/1/1983,4.029727333
7/1/1983,3.272266261
10/1/1983,2.448079333
1/1/1984,1.790535667
4/1/1984,1.366351333
7/1/1984,1.375572333
10/1/1984,1.251578617
1/1/1985,1.194430333
4/1/1985,1.270860481
7/1/1985,1.180943
10/1/1985,1.024755333
1/1/1986,1.035711333
4/1/1986,1.180556667
7/1/1986,0.992699114
10/1/1986,0.872207959
1/1/1987,0.652474499
4/1/1987,0.333541171
7/1/1987,0.082098484
10/1/1987,-0.068521667
1/1/1988,-0.185015
4/1/1988,-0.400773333
7/1/1988,-0.382550333
10/1/1988,-0.497119109
1/1/1989,-0.611267376
4/1/1989,-0.558453667
7/1/1989,-0.538801667
10/1/1989,-0.385761865
1/1/1990,-0.432765
4/1/1990,-0.379897277
7/1/1990,0.006097507
10/1/1990,0.458481916
1/1/1991,0.943854427
4/1/1991,1.195495333
7/1/1991,1.246705667
10/1/1991,1.497466
1/1/1992,1.781090132
4/1/1992,2.030916
7/1/1992,2.080274333
10/1/1992,1.829155667
1/1/1993,1.610878333
4/1/1993,1.558762137
7/1/1993,1.306135464
10/1/1993,1.152991899
1/1/1994,1.099328105
4/1/1994,0.745155
7/1/1994,0.557162
10/1/1994,0.202042333
1/1/1995,0.046494667
4/1/1995,0.257215182
7/1/1995,0.267575667
10/1/1995,0.177616667
1/1/1996,0.154057333
4/1/1996,0.130290508
7/1/1996,-0.093625768
10/1/1996,-0.017640273
1/1/1997,-0.108362667
4/1/1997,-0.332409382
7/1/1997,-0.456413873
10/1/1997,-0.647023333
1/1/1998,-0.670888667
4/1/1998,-0.894664
7/1/1998,-0.751667667
10/1/1998,-0.841899667
1/1/1999,-0.965363
4/1/1999,-0.988727792
7/1/1999,-1.012000338
10/1/1999,-1.168518003
1/1/2000,-1.191614667
4/1/2000,-1.281288667
7/1/2000,-1.204211
10/1/2000,-1.293731
1/1/2001,-0.949863211
4/1/2001,-0.772613621
7/1/2001,-0.328649667
10/1/2001,0.348687
1/1/2002,0.559384537
4/1/2002,0.703428333
7/1/2002,0.614124333
10/1/2002,0.758105151
1/1/2003,0.768676667
4/1/2003,1.045808333
7/1/2003,1.056131333
10/1/2003,0.76627477
1/1/2004,0.642874
4/1/2004,0.552567577
7/1/2004,0.395325333
10/1/2004,0.404454645
1/1/2005,0.279924
4/1/2005,0.088363
7/1/2005,-0.036987813
10/1/2005,-0.030050109
1/1/2006,-0.253683403
4/1/2006,-0.343401143
7/1/2006,-0.332677824
10/1/2006,-0.521706747
1/1/2007,-0.44404698
4/1/2007,-0.433268579
7/1/2007,-0.256258473
10/1/2007,-0.113194325
1/1/2008,0.095808281
4/1/2008,0.437372764
7/1/2008,1.11152924
10/1/2008,1.985043371
1/1/2009,3.391404765
4/1/2009,4.430807735
7/1/2009,4.770127353
10/1/2009,5.076226389
1/1/2010,4.982605051
4/1/2010,4.789396743
7/1/2010,4.630035769
10/1/2010,4.671257137
1/1/2011,4.213089327
4/1/2011,4.255508543
7/1/2011,4.198430187
10/1/2011,3.841711215
1/1/2012,3.485167137
4/1/2012,3.428600479
7/1/2012,3.271830618
10/1/2012,3.048051143
1/1/2013,2.990508476
4/1/2013,2.799166115
7/1/2013,2.507360081
10/1/2013,2.21512104
1/1/2014,1.955831504
4/1/2014,1.496219169
7/1/2014,1.369686829
10/1/2014,1.009643722
1/1/2015,0.849501795
4/1/2015,0.756004868
7/1/2015,0.429225406
10/1/2015,0.369225979
1/1/2016,0.242719937
4/1/2016,0.28306657
7/1/2016,0.256934204
10/1/2016,0.130969155
1/1/2017,-0.061525798
4/1/2017,-0.253907357
7/1/2017,-0.279505655
10/1/2017,-0.438273704
1/1/2018,-0.563451201
4/1/2018,-0.654910899
7/1/2018,-0.812516192
10/1/2018,-0.736155002
1/1/2019,-0.692440683
4/1/2019,-0.914738983
7/1/2019,-0.936518385
10/1/2019,-0.924682421
1/1/2020,-0.679542664
4/1/2020,8.498564924
7/1/2020,4.309341759
10/1/2020,2.252577006
1/1/2021,1.761395652
4/1/2021,1.469283127
7/1/2021,0.609586721
10/1/2021,-0.284259632
1/1/2022,-0.645478926
4/1/2022,-0.807299693
7/1/2022,-0.90296524
10/1/2022,-0.865730873
1/1/2023,-0.928862109
4/1/2023,-0.858961536
7/1/2023,-0.72261683
10/1/2023,-0.686418042
1/1/2024,-0.616962027
4/1/2024,-0.414191339
7/1/2024,-0.31142